x,y,z
2.037877402469573038e-02,1.297241439511723327e+00,1.995832547209534846e+00
2.032860631542071639e-02,1.296727821564444882e+00,1.995912938244938317e+00
2.018258346972007233e-02,1.296344364690132256e+00,1.995855520797801264e+00
2.024901010758138609e-02,1.296049374863575299e+00,1.996017805918578469e+00
1.990994497294956700e-02,1.295701286506233618e+00,1.995994874755484094e+00
1.990360775439892205e-02,1.295669514030991065e+00,1.995917881146220818e+00
1.971051574020431241e-02,1.294782616753619608e+00,1.996184404404798052e+00
1.999781079467750911e-02,1.293825107524993578e+00,1.996150819507106933e+00
2.001543304946235696e-02,1.292788613502205974e+00,1.996313639790065375e+00
2.020926574564056027e-02,1.291884680173510658e+00,1.996352762163299932e+00
2.029458037396397740e-02,1.290730692661655299e+00,1.996169303293423569e+00
2.063029264949960140e-02,1.289323667134861795e+00,1.995962363123263472e+00
2.094302262651264596e-02,1.287901194763933166e+00,1.995769368980803149e+00
2.099517045898238732e-02,1.286126721215872681e+00,1.995886485344593897e+00
2.123246208709586580e-02,1.284093307379723381e+00,1.995833725758048960e+00
2.133201590528326780e-02,1.282072828481900073e+00,1.995782314901388466e+00
2.163214570748471510e-02,1.279708927561155507e+00,1.996017705627684879e+00
2.190095622119384716e-02,1.276575576470092566e+00,1.996389024226838060e+00
2.224632236662805324e-02,1.273399387955628459e+00,1.996718136257716214e+00
2.250191292086427958e-02,1.270260035460597958e+00,1.996689128683887926e+00
2.278737355559546512e-02,1.266923520047553708e+00,1.996734377415966488e+00
2.298806268183630624e-02,1.263211204691263356e+00,1.997096561699670092e+00
2.318590877167233527e-02,1.258834889831161874e+00,1.997886182430593571e+00
2.310424790834286063e-02,1.253895384390987022e+00,1.998839780433997015e+00
2.338774551697679616e-02,1.248730152544351935e+00,1.999376724238421721e+00
2.327690809588575660e-02,1.241702745132838182e+00,2.002076258454792868e+00
2.349844752155007266e-02,1.220669166970641983e+00,2.004955913957334968e+00
2.386835481918728186e-02,1.213127497255884313e+00,2.004811921578678824e+00
2.417293996367007175e-02,1.196357997561855013e+00,2.006210591759168604e+00
2.362537972870307895e-02,1.186545763938446685e+00,2.008535308709415546e+00
2.330111134185048477e-02,1.146416590970515959e+00,2.012787468978816552e+00
2.325392982371922379e+00,6.211932480406382462e-01,6.183322577631293893e-01
2.268661660898189325e+00,6.576139897756847486e-01,5.950829564566024743e-01
-8.102840622016000971e-01,1.303907183635882872e-01,-2.559344372285526914e-02
-8.064072870779763758e-01,1.368778149613472106e-01,-2.302072832555535076e-02
-8.008535619032586261e-01,1.431785459762198176e-01,-2.025561976890088989e-02
-7.957684674985106010e-01,1.486603206245992181e-01,-1.852467953908304432e-02
-7.932676167812919843e-01,1.515248144842110123e-01,-1.843817810785292055e-02
-7.931105801793922883e-01,1.576907984515082961e-01,-1.837185128447099691e-02
-7.956445773689384549e-01,1.629504304475464516e-01,-1.896708891695086940e-02
-7.946082159723804050e-01,1.690550895699525769e-01,-1.840561672001100879e-02
-7.928022474410585385e-01,1.733432642452534256e-01,-1.795637617080247939e-02
-7.924579496432773151e-01,1.798107302199770940e-01,-1.772015236756840917e-02
-7.917667292848569183e-01,1.870062464471084207e-01,-1.720758316761145101e-02
-7.903660627054467369e-01,1.925907678920917021e-01,-1.610438767712463193e-02
-7.938467518079268537e-01,1.985020001176988624e-01,-1.730374207249896212e-02
-8.106477102514182409e-01,2.005102146450193357e-01,-2.388921536719240679e-02
-8.326840363725995786e-01,2.366648775001443106e-01,-3.011982908016763716e-02
-8.466033656147335940e-01,2.445456596932748528e-01,-3.556778625908507685e-02
4.028935718789455889e-02,5.540686092735294110e-01,2.025284563261997572e-02
-8.270231361699702521e-01,3.465909273800818480e-01,-2.341241648257641472e-02
4.082015850478903918e-02,5.594654751827996542e-01,2.289349060541517877e-02
-8.146936165996565560e-01,3.681574768286492438e-01,-1.631259210063701337e-02
-8.189824200180122471e-01,3.792008468776824626e-01,-1.781151845126000000e-02
2.289423719123956369e-02,5.703408444807641642e-01,1.420962602556066767e-02
2.057644399987557104e-02,5.718885882518982555e-01,1.407297804883961279e-02
1.696333597910293367e-02,5.729161278130917578e-01,1.337337541770572402e-02
1.161922765656187018e-02,5.762788140960699579e-01,1.072046784039348832e-02
2.071230509452792745e-04,5.760144979041192936e-01,4.928087623814442209e-03
-1.959639696719056579e-02,5.754348043603263463e-01,-6.156636899338124858e-03
-1.829200574991207695e-02,5.825331394022289500e-01,-3.828632441909396444e-03
-1.934061606779524656e-02,5.823751538787349524e-01,-4.012937085182133323e-03
-4.507853403196522279e-01,7.068906216570495227e-01,-1.049828492939858388e-01
-4.282896588595583309e-01,7.194049429333029266e-01,-9.706872682630036941e-02
6.459666099164478315e-01,7.411253726010671450e-01,8.058306945080813410e-02
-4.321888170708703680e-01,7.307694287440883452e-01,-9.899216896987085568e-02
-4.273688586623489161e-01,7.343480191373982224e-01,-9.669231923920627858e-02
-4.373188812572836315e-01,7.393889654283332113e-01,-1.021916282533479881e-01
-4.371589940665825402e-01,7.410830366895959642e-01,-9.980232842240556457e-02
-4.284530410441020898e-01,7.440010319167703612e-01,-9.528303527389618555e-02
-4.269211435172528546e-01,7.448192159112486666e-01,-9.394829760121826967e-02
-4.270312319213096508e-01,7.481942349302731499e-01,-9.363359041310613529e-02
-4.291662587714584753e-01,7.509051600449089259e-01,-9.417226886654199436e-02
-4.321484086346825682e-01,7.530289237557440396e-01,-9.620307985649360905e-02
-4.342366239968635799e-01,7.574254640923205883e-01,-9.710097375609645642e-02
-4.369584786401445875e-01,7.584768042850692504e-01,-9.755428432504376079e-02
-4.362624530727751693e-01,7.606207980062901219e-01,-9.640872180108157885e-02
-4.381130238305810387e-01,7.628074367003034872e-01,-9.573057306814181100e-02
-4.398625467918231280e-01,7.644013859975758995e-01,-9.615694137654723361e-02
-4.423300897885720229e-01,7.666097021176313531e-01,-9.732290156471785914e-02
-4.450254009804491262e-01,7.681921369998203630e-01,-9.816873206839860089e-02
-4.463945343982440583e-01,7.701637597322711359e-01,-9.765073535554934236e-02
-4.489467177432944767e-01,7.717956736330281453e-01,-9.721940354586161570e-02
-4.510419479622297945e-01,7.735231937321361828e-01,-9.785708992558950214e-02
-4.526480050015675993e-01,7.762179916336610086e-01,-9.782822695054338435e-02
5.773077706389625474e-01,7.404246204355597882e-01,6.488338144135469276e-02
-4.548957278359970768e-01,7.799238072780054765e-01,-9.742977713839577614e-02
-4.553902141632138467e-01,7.799037986362625796e-01,-9.757491679853297351e-02
-4.575371680005076436e-01,7.814725759135319194e-01,-9.781971414699879019e-02
-4.590522875400657732e-01,7.832198600975744940e-01,-9.768179692640062417e-02
-4.610388887213384135e-01,7.844845732145483419e-01,-9.800243129834507183e-02
-4.626736578009095768e-01,7.851354524526407141e-01,-9.823753083545190556e-02
-4.650578326611743418e-01,7.867148514877353449e-01,-9.892225822048074380e-02
-4.657013058647169745e-01,7.871231530964456491e-01,-9.825552946018357992e-02
-4.669073694379805572e-01,7.885942932279036421e-01,-9.863110179388608068e-02
-4.677694254806222252e-01,7.897902479818710297e-01,-9.888059651609047707e-02
-4.694596644487629700e-01,7.901474813387853180e-01,-9.938283265747595296e-02
-4.698107568653278610e-01,7.936904694083276590e-01,-9.877332594446318337e-02
-4.706358319799943124e-01,7.935162600889950069e-01,-9.898357310443745005e-02
-4.714720613091139545e-01,7.947058209245877469e-01,-9.890533316997855706e-02
-4.721600730346049990e-01,7.959703020361345027e-01,-9.907000753525595227e-02
-4.726407009829646788e-01,7.951088624624246259e-01,-9.889851049258598092e-02
-4.736938153747402569e-01,7.975255778565144560e-01,-9.865511447870949080e-02
-4.741008300173357171e-01,7.988256205161893275e-01,-9.850694636224138767e-02
-4.758723659398187977e-01,7.999042849730262361e-01,-9.866397710869534432e-02
-4.771139931090018771e-01,8.004868347514243476e-01,-9.816288986297916352e-02
-4.776244163598110659e-01,8.016493946852207841e-01,-9.844420239532002126e-02
-4.789178776076812860e-01,8.024486202983757144e-01,-9.801581246289402249e-02
-4.797919667242782626e-01,8.032567112359810801e-01,-9.794777515727531858e-02
-4.808360939915369836e-01,8.034476188916247485e-01,-9.809315838623171302e-02
-4.814649107083339707e-01,8.052195665175950756e-01,-9.796371925070335163e-02
-4.828096068530958740e-01,8.065035912965080600e-01,-9.796989133582804932e-02
-4.842796295968933573e-01,8.073068689623225103e-01,-9.796310971019757396e-02
-4.862955356886273783e-01,8.084124996962304133e-01,-9.833816970506603639e-02
-4.882159676616050770e-01,8.088411010257169353e-01,-9.795706408894398753e-02
-4.904816849440889470e-01,8.102046436676104690e-01,-9.775340134855499408e-02
-4.928320903268012532e-01,8.104725422110442556e-01,-9.733290372623944198e-02
-4.941773487335482939e-01,8.115576418791895508e-01,-9.721264966577503053e-02
-4.965413083005834061e-01,8.126504091128404772e-01,-9.708428758894797894e-02
-4.996688900144761747e-01,8.127974450887321956e-01,-9.703764823313150434e-02
-5.028441644767130958e-01,8.135770200626047943e-01,-9.732808417718720462e-02
-5.056098794070881253e-01,8.165559500331996956e-01,-9.758515856780243525e-02
-5.084414187870833768e-01,8.171388436628630458e-01,-9.774392322966690694e-02
-5.111647488592326871e-01,8.190649590364014188e-01,-9.754014144483984239e-02
-5.125652320807995155e-01,8.195911734770463530e-01,-9.721777769452942530e-02
-5.160693979870557557e-01,8.208443546710447736e-01,-9.687742473789530406e-02
-5.185743074948078180e-01,8.212105474963161678e-01,-9.739182525635615983e-02
-5.208902341825039084e-01,8.222908827760276873e-01,-9.676985385365237391e-02
4.975528418527925822e-01,7.410300021943250215e-01,6.242665479923964478e-02
-5.247018049492063740e-01,8.258505769599318036e-01,-9.494873090952916928e-02
-5.259482939720802053e-01,8.256743104182598936e-01,-9.409195599101673191e-02
-5.270839358489377569e-01,8.272202433795511345e-01,-9.375723501756318135e-02
-5.287984509378312881e-01,8.272267553226001491e-01,-9.300500436398172199e-02
-5.303597217948320397e-01,8.284167405502191883e-01,-9.314269888958896793e-02
-5.326533328704544656e-01,8.297596188706731768e-01,-9.323534229342896051e-02
-5.335625498640915731e-01,8.314410335394989415e-01,-9.263324589786246788e-02
-5.346573780716248336e-01,8.315202701855923806e-01,-9.232223793050399474e-02
-5.357866498305363656e-01,8.335935219304978494e-01,-9.223797080040496699e-02
-5.361091813074732038e-01,8.349331854297527000e-01,-9.157699099010156718e-02
-5.373708950068250001e-01,8.365939648005289442e-01,-9.120583677017608804e-02
-5.385497454442981224e-01,8.379267835010720811e-01,-9.089265384852780738e-02
-5.386284539730334942e-01,8.386193341260715917e-01,-9.039599017190665109e-02
-5.389453670135663232e-01,8.406013180314541033e-01,-8.969255370831159813e-02
-5.396574833033747076e-01,8.421456495016942378e-01,-8.970363909791728707e-02
-5.398824180038040987e-01,8.430664509487378888e-01,-8.907380150377475214e-02
-5.398439170688432709e-01,8.458490302300095687e-01,-8.846604312232607403e-02
-5.399428159479496836e-01,8.479387053837781352e-01,-8.803536775686339466e-02
-5.401353256772457589e-01,8.493180392794478228e-01,-8.751348794091053096e-02
-5.407702284191194808e-01,8.506104503274566353e-01,-8.719349286779730368e-02
-5.403558869345186366e-01,8.534832065528995537e-01,-8.680866427205585767e-02
4.657348980343349876e-01,7.513363283523407654e-01,7.149880916136341913e-02
-5.433187753055257474e-01,8.589088975472695120e-01,-8.635375991171166665e-02
-5.453939345734296618e-01,8.615138133336844861e-01,-8.594182378031051117e-02
-5.462956423759658398e-01,8.639844305111766820e-01,-8.526600712478003830e-02
-5.477461049620228062e-01,8.678654960056394474e-01,-8.441461406749302399e-02
4.544436112074980438e-01,7.550264533798932698e-01,7.361153529459830980e-02
4.509602313751135960e-01,7.551653164229704673e-01,7.433740600248948949e-02
5.197832450792533310e-01,6.721752894186253657e-01,1.296001843661787611e-01
-5.592709884401481091e-01,8.828565895907712902e-01,-8.281980773652670991e-02
-5.667136444736663448e-01,8.882629026439987641e-01,-8.471668114298480656e-02
1.552970821672771562e+00,5.201161293148152120e-01,3.051472210316256706e-01
5.144996769621493771e-01,6.717577238725186417e-01,1.367964587972528567e-01
-5.930929670565049383e-01,9.132473369595833779e-01,-8.840807966003122464e-02
4.197437051044377587e-01,7.648269081903341648e-01,7.535719848821027800e-02
-6.011031861649461794e-01,9.312467305313862909e-01,-8.586805638589668777e-02
4.987590700162651269e-01,6.678647264254061744e-01,1.409331096975874609e-01
1.517047349867292283e+00,4.899744526352638463e-01,3.085068988025103653e-01
1.513697025188019296e+00,4.805021167883088418e-01,3.086248264019961218e-01
1.526283577968909455e+00,4.599810884490891927e-01,3.183456689181945465e-01
1.529016850845255737e+00,4.483726675311476839e-01,3.245478084470688196e-01
1.522379383900572813e+00,4.343206480970162597e-01,3.253639397172736203e-01
1.501543291534313873e+00,4.317751242873795192e-01,3.211903152502206260e-01
1.490802971170190672e+00,4.264224506064271947e-01,3.190133320950774287e-01
1.482459944791686413e+00,4.198095860393784573e-01,3.189442125003711936e-01
1.476149794429221673e+00,4.081035262715366763e-01,3.195600315720841245e-01
2.437174203294343755e+00,-2.636085998346685555e-01,6.607893115066557632e-01
2.323279418341757108e+00,4.217515314130965143e-01,1.294868905088775168e+00
2.317148075588128187e+00,4.130627079067553109e-01,1.294450467282857398e+00
2.307216998672994013e+00,4.056241363838926084e-01,1.295381790016607360e+00
2.299806480447405210e+00,3.947669242994942262e-01,1.294664274859566033e+00
2.295287937340698026e+00,3.861527702486189373e-01,1.292869813356718689e+00
2.288911411767203141e+00,3.779795641312563292e-01,1.293145679189620756e+00
2.277265498385879550e+00,3.773781288088327024e-01,1.297196163339179087e+00
2.265630188390060251e+00,3.742961942667212272e-01,1.300218144919409458e+00
2.258064193305973966e+00,3.692938344984906807e-01,1.301348635318543501e+00
2.250520189219865408e+00,3.638577434492992202e-01,1.302506155562325629e+00
2.244457983063321116e+00,3.595642959588179477e-01,1.303507812541382371e+00
2.238047647452507061e+00,3.549739510415692578e-01,1.304719049537803155e+00
2.230391258612463901e+00,3.512758739390763330e-01,1.306375890345496504e+00
2.221323303537679372e+00,3.498090133873543728e-01,1.309082661008579285e+00
2.213489204000572030e+00,3.481139675848236026e-01,1.311181122043046265e+00
2.207077493235221510e+00,3.459644122844204306e-01,1.312786144167349622e+00
2.200668277485687163e+00,3.421582442576634464e-01,1.314344590128279755e+00
2.194646174931115024e+00,3.385909855720116712e-01,1.315605913839532404e+00
2.189402776090974445e+00,3.350726965689002079e-01,1.316534512910414900e+00
2.184100534007688221e+00,3.315212429237784919e-01,1.317574598894649895e+00
2.179780928120310435e+00,3.280488364396105250e-01,1.318165228668519706e+00
2.174350286627257045e+00,3.233665849053850572e-01,1.318965024234831640e+00
2.170247955694568631e+00,3.190239769397373304e-01,1.319304461703765252e+00
2.166198020685314862e+00,3.148730619785446994e-01,1.319689182249328852e+00
2.163335154174264030e+00,3.099645513829704657e-01,1.319601569584967438e+00
2.159897597083517251e+00,3.051075934630142483e-01,1.319642111107830251e+00
2.154353534858918451e+00,3.039335342614047919e-01,1.320985515548511069e+00
2.150214972115337630e+00,3.006870073226262652e-01,1.321488352341224637e+00
2.146681632398843576e+00,2.972941145015327580e-01,1.321659973229662777e+00
2.142871345438441377e+00,2.941229815827426375e-01,1.322102139409047972e+00
2.139271093863994722e+00,2.902405054046357513e-01,1.322355711087435992e+00
2.135996979710627297e+00,2.872200014729229256e-01,1.322540371623003308e+00
2.132094788710926725e+00,2.832428364120668229e-01,1.322736293243326644e+00
2.127806946198139926e+00,2.810369189202068241e-01,1.323351786150422260e+00
2.123270100210754574e+00,2.784286936132567281e-01,1.324031407551217843e+00
2.120231946032745007e+00,2.759036408635419102e-01,1.323957711685973315e+00
2.116807762139285565e+00,2.725015146673741562e-01,1.323922643291082446e+00
2.112224013210488138e+00,2.689155746404466862e-01,1.324441182346950630e+00
2.107175995758145959e+00,2.650637681516089250e-01,1.324419827768932967e+00
2.102693331043175018e+00,2.609832821515283285e-01,1.324390583408560307e+00
2.098896448179047969e+00,2.579562701652716727e-01,1.324663074067640611e+00
2.094345168726775785e+00,2.539893302340197057e-01,1.324896308790624921e+00
2.090855491798842891e+00,2.495071166794327056e-01,1.324464668676784473e+00
2.087867416307001456e+00,2.393631551918128375e-01,1.323532234113346195e+00
2.088822323709542239e+00,2.379517995203553338e-01,1.323991724266107450e+00
2.084637797194407227e+00,2.322100357036533391e-01,1.323534735904591253e+00
2.076697203746744158e+00,2.191832976139171940e-01,1.322236425307846686e+00
2.069628109503844016e+00,2.099081966509832586e-01,1.321461437903312275e+00
2.063323759371750832e+00,2.054183883099230945e-01,1.322013031101363367e+00
2.058434730648955213e+00,2.035706829710166588e-01,1.323154452092137001e+00
2.052471963816260736e+00,1.973773961126357168e-01,1.323298909807966828e+00
2.045711130737241312e+00,1.884124861751548252e-01,1.322873678074748982e+00
2.037356141988788671e+00,1.790394362092933012e-01,1.323016931745959690e+00
2.036597876348555936e+00,1.684706887611771009e-01,1.321319098722399055e+00
2.028999098469461693e+00,1.634627684966735162e-01,1.321721873176497031e+00
2.021224316054983206e+00,1.563196428870547994e-01,1.322370913984270091e+00
2.014727459842102331e+00,1.495684902685709972e-01,1.322595852827788132e+00
2.008045852207226645e+00,1.437025200887968035e-01,1.322694268704671217e+00
2.001034704246079876e+00,1.367859936235835683e-01,1.322594671584395254e+00
1.993097459723369713e+00,1.305365049696429747e-01,1.323273595908991629e+00
1.986314573359356350e+00,1.258544554716345409e-01,1.323720345603039750e+00
1.980623667544084032e+00,1.229552092406946961e-01,1.324274333590130803e+00
1.974504909710064648e+00,1.190010804281840251e-01,1.324826194480871688e+00
1.970766047588985215e+00,1.158584885442582868e-01,1.324574140515931475e+00
1.969885306101670785e+00,1.160662303701843756e-01,1.324394992384144487e+00
1.965345970307729395e+00,1.136570530959044589e-01,1.324464842322559344e+00
1.958964009456771516e+00,1.104865492735095378e-01,1.324750432866785843e+00
1.952304325862154855e+00,1.068778839929644953e-01,1.324965679025374321e+00
1.946371167493726073e+00,1.034704784503375219e-01,1.325252046186025323e+00
1.940576983513235376e+00,9.952713884437836001e-02,1.325087480023237729e+00
1.934887385044861352e+00,9.561399509841406186e-02,1.325050465683362377e+00
1.928978745228270286e+00,9.197051674357448192e-02,1.325038850279084190e+00
1.923227134304977826e+00,8.855352732642107760e-02,1.324995969719607869e+00
1.916877968805745347e+00,8.526321411463455568e-02,1.324804867560064547e+00
1.913879553417025203e+00,8.123499311858395355e-02,1.323630723125482689e+00
1.913336247600617934e+00,7.655595414084437333e-02,1.322025400589412980e+00
1.912634904207683118e+00,6.876166629514546269e-02,1.319290295506447608e+00
1.909597040118468758e+00,6.380782614317093149e-02,1.317771417098577036e+00
1.897422969400553772e+00,6.414467770451581785e-02,1.319058118546940328e+00
1.881669191933667662e+00,6.717491339127867889e-02,1.321778482294530876e+00
1.868970137863722680e+00,6.823322278017240894e-02,1.323446502919644274e+00
1.869373962774621090e+00,5.929078880809179886e-02,1.319712145268075787e+00
1.855739858962759836e+00,6.272302125831707986e-02,1.322378113046742465e+00
1.846234063499544220e+00,6.221730034333250448e-02,1.323050566628872549e+00
1.839980700096179422e+00,5.867950093187912497e-02,1.322313380723561638e+00
1.833757216612316387e+00,5.493494719097924417e-02,1.321686073156084662e+00
1.826925899389357788e+00,5.144797737787643044e-02,1.321336281733152207e+00
1.819860520273295368e+00,4.811272045363379490e-02,1.321004945821517618e+00
1.813546985267790346e+00,4.558227277788184928e-02,1.320846859536400020e+00
1.806761196081699827e+00,4.301811328600391171e-02,1.320863079057256861e+00
1.799609990621908739e+00,3.998381229275937976e-02,1.320745856286577036e+00
1.794524759233463662e+00,3.531024720845366005e-02,1.319924798688263623e+00
1.788366896827271013e+00,3.176958315516031917e-02,1.319304248698027981e+00
1.781342177231139745e+00,2.907929017385102455e-02,1.319234608513896179e+00
1.774246155862295060e+00,2.662677128380441793e-02,1.319222468833346484e+00
1.766931871722298375e+00,2.488568876304131372e-02,1.319194583146769961e+00
1.759656133641525511e+00,2.403004863380520106e-02,1.319645863543812192e+00
1.753539995760839076e+00,2.064246900614441493e-02,1.319051223529998706e+00
1.754443773083724345e+00,6.256563734694742251e-03,1.312978466993149906e+00
1.750080443989284973e+00,5.645140998060682591e-04,1.310764595073534489e+00
1.741621527119331825e+00,-4.557662335763046357e-03,1.309997527214026292e+00
1.731023114726630840e+00,-6.156588663816964235e-03,1.310663633625797964e+00
1.720619014086805620e+00,-8.526878431258433366e-03,1.310807611241782356e+00
